,HPPR_G
328,6.32
329,5.84
330,2.0549999999999997
331,1.985
332,1.45
333,1.11
334,1.655
335,0.8300000000000001
336,16.25
337,13.85
338,15.9
339,8.54
340,8.2
341,7.57
342,2.875
343,2.77
344,1.79
345,1.6
346,0.9450000000000001
347,0.62
348,14.0
349,14.25
350,17.35
351,10.615
352,4.720000000000001
353,3.465
354,1.13
355,0.905
356,13.899999999999999
357,13.95
358,19.1
359,11.705
360,10.405000000000001
361,7.17
362,4.33
363,2.895
364,0.855
365,11.1
366,15.5
367,9.845
368,10.99
369,7.675
370,9.095
371,5.465
372,2.49
373,16.35
374,17.8
375,12.315
376,8.780000000000001
377,7.915
378,5.755
379,7.13
380,4.155
381,3.09
382,1.6949999999999998
383,1.0350000000000001
384,18.65
385,19.049999999999997
386,14.7
387,6.755000000000001
388,4.89
389,2.605
390,1.845
391,1.3399999999999999
392,0.61
393,16.15
394,21.95
395,15.700000000000001
396,13.5
397,9.440000000000001
398,7.96
399,3.415
400,3.385
401,6.255
402,2.795
403,0.9149999999999999
404,13.0
405,13.0
406,10.3
407,14.3
408,9.365
409,5.955
410,4.085
411,3.13
412,1.8050000000000002
413,0.9750000000000001
414,16.85
415,22.15
416,11.1
417,7.975
418,9.325
419,2.01
420,1.62
421,1.53
422,1.3050000000000002
423,15.0
424,11.85
425,12.75
426,17.8
427,12.015
428,5.175
429,4.65
430,1.83
431,0.8600000000000001
432,0.61
433,9.51
434,13.25
435,7.244999999999999
436,3.7299999999999995
437,5.805
438,2.075
439,1.97
440,0.83
441,0.9950000000000001
442,10.25
443,10.455
444,9.665
445,11.45
446,6.765
447,8.335
448,1.91
449,2.4000000000000004
450,0.55
451,9.33
452,11.6
453,9.629999999999999
454,11.2
455,7.550000000000001
456,2.79
457,3.0549999999999997
458,2.15
459,3.245
460,0.7050000000000001
461,14.05
462,11.844999999999999
463,7.57
464,4.46
465,4.815
466,3.74
467,3.12
468,4.33
469,1.24
470,11.149999999999999
471,10.95
472,10.395
473,7.965
474,4.67
475,1.2650000000000001
476,0.8049999999999999
477,0.595
478,18.1
479,11.33
480,9.59
481,13.0
482,7.64
483,5.635
484,4.8100000000000005
485,3.41
486,2.01
487,15.350000000000001
488,9.79
489,14.7
490,9.515
491,8.455
492,5.65
493,4.5600000000000005
494,2.165
495,1.6099999999999999
496,21.05
497,13.05
498,9.67
499,6.870000000000001
500,4.335
501,4.925
502,1.11
503,1.025
504,15.8
505,9.940000000000001
506,8.705
507,14.7
508,10.035
509,4.445
510,2.1399999999999997
511,2.56
512,0.885
513,10.695
514,13.0
515,9.95
516,4.755
517,6.605
518,5.635
519,2.85
520,2.75
521,1.155
522,14.100000000000001
523,10.469999999999999
524,11.254999999999999
525,16.4
526,6.720000000000001
527,3.7649999999999997
528,2.7
529,1.15
530,10.025
531,16.4
532,10.75
533,8.16
534,4.795
535,1.81
536,9.629999999999999
537,10.445
538,15.25
539,10.695
540,7.895
541,3.34
542,3.46
543,2.145
544,0.81
545,10.635
546,11.6
547,8.95
548,8.35
549,6.66
550,6.835
551,4.15
552,3.33
553,5.29
554,2.41
555,1.87
556,1.17
557,15.2
558,7.6850000000000005
559,10.15
560,6.615
561,6.45
562,5.45
563,2.29
564,2.04
565,2.2350000000000003
566,27.7
567,15.35
568,11.665
569,5.585
570,4.970000000000001
571,3.875
572,3.72
573,3.0999999999999996
574,11.2
575,10.27
576,4.890000000000001
577,4.205
578,1.275
579,1.925
580,1.23
581,0.53
582,0.5700000000000001
583,11.600000000000001
584,9.0
585,9.735
586,8.625
587,9.11
